PublishedDate,Code,ApplicationDate,PublishReason,ShortMarginOutstanding,DailyChangeShortMarginOutstanding,ShortMarginOutstandingListedShareRatio,LongMarginOutstanding,DailyChangeLongMarginOutstanding,LongMarginOutstandingListedShareRatio,ShortLongRatio,ShortNegotiableMarginOutstanding,DailyChangeShortNegotiableMarginOutstanding,ShortStandardizedMarginOutstanding,DailyChangeShortStandardizedMarginOutstanding,LongNegotiableMarginOutstanding,DailyChangeLongNegotiableMarginOutstanding,LongStandardizedMarginOutstanding,DailyChangeLongStandardizedMarginOutstanding,TSEMarginBorrowingAndLendingRegulationClassification
2025-11-20,81290,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",27100.0,-1200.0,0.0371,19300.0,0.0,0.0264,140.4,13800.0,200.0,13300.0,-1400.0,9400.0,-400.0,9900.0,400.0,001
2025-11-20,82890,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",8900.0,-1200.0,0.0381,174200.0,-4400.0,0.7459,5.1,0.0,0.0,8900.0,-1200.0,104500.0,-400.0,69700.0,-4000.0,001
2025-11-20,83650,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",29600.0,200.0,0.5437,61600.0,-100.0,1.1314,48.1,0.0,0.0,29600.0,200.0,20100.0,0.0,41500.0,-100.0,001
2025-11-20,85620,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",282200.0,-4600.0,0.8086,1016600.0,-16300.0,2.9129,27.8,0.0,0.0,282200.0,-4600.0,472100.0,-900.0,544500.0,-15400.0,001
2025-11-20,86140,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",137800.0,-3700.0,0.1865,1452200.0,-9900.0,1.9657,9.5,11700.0,-1200.0,126100.0,-2500.0,457700.0,5600.0,994500.0,-15500.0,001
2025-11-20,86990,2025-11-19,"{'Restricted': '0', 'DailyPublication': '1', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",2400.0,-300.0,0.0059,8989100.0,2300.0,21.9495,0.0,0.0,0.0,2400.0,-300.0,4391000.0,-2300.0,4598100.0,4600.0,002
2025-11-20,87460,2025-11-19,"{'Restricted': '0', 'DailyPublication': '1', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,0.0,2725600.0,-26900.0,20.084,0.0,0.0,0.0,0.0,0.0,1947800.0,-1000.0,777800.0,-25900.0,002
2025-11-20,88870,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",504400.0,24300.0,1.209,1358900.0,-29900.0,3.2573,37.1,0.0,0.0,504400.0,24300.0,612900.0,-4200.0,746000.0,-25700.0,001
2025-11-20,88940,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",75700.0,12100.0,0.0649,6030300.0,-56800.0,5.1683,1.3,20200.0,12100.0,55500.0,0.0,2783200.0,6200.0,3247100.0,-63000.0,001
2025-11-20,89120,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",26100.0,-500.0,0.1522,530800.0,-16100.0,3.0958,4.9,0.0,0.0,26100.0,-500.0,215700.0,-700.0,315100.0,-15400.0,001
