Date,Sector33Code,SellingExcludingShortSellingTurnoverValue,ShortSellingWithRestrictionsTurnoverValue,ShortSellingWithoutRestrictionsTurnoverValue
2025-11-12,3050,110707370750.0,64323771700.0,6953635650.0
2025-11-12,3100,15083001190.0,4779228290.0,1322871570.0
2025-11-12,3150,3335007750.0,1411768830.0,179078730.0
2025-11-12,3200,153773264080.0,94546495280.0,10804085220.0
2025-11-12,3250,123100117500.0,48625707750.0,8389485500.0
2025-11-12,3300,18517363980.0,11493289750.0,1201933510.0
2025-11-12,3350,42822490650.0,20804088150.0,3522749200.0
2025-11-12,3400,43380821950.0,33948345700.0,4524570100.0
2025-11-12,3450,21567537420.0,13531827030.0,1143911240.0
2025-11-12,3500,450844768300.0,239768841550.0,96788916000.0
2025-11-12,3550,33190400150.0,19632927900.0,1693012200.0
2025-11-12,3600,413846427410.0,237404851050.0,76589584230.0
2025-11-12,3650,961931579540.0,441059385350.0,169320285940.0
2025-11-12,3700,166410545040.0,86444475060.0,15149739400.0
2025-11-12,3750,62294887450.0,33943517250.0,3771733100.0
2025-11-12,3800,106797626660.0,51130287790.0,9493310340.0
2025-11-12,4050,71322827540.0,36942349550.0,7012334930.0
2025-11-12,5050,47445277150.0,34353590750.0,2805093500.0
2025-11-12,5100,20402885400.0,16087260500.0,1698087300.0
2025-11-12,5150,9071730950.0,5661584400.0,637325300.0
2025-11-12,5200,2770884650.0,1234867950.0,151405550.0
2025-11-12,5250,595695621403.0,248231133667.0,102925494860.0
2025-11-12,6050,134724639550.0,79123545550.0,17193240250.0
2025-11-12,6100,146885452770.0,79348705920.0,15557772770.0
2025-11-12,7050,249000408780.0,105839384270.0,17123966870.0
2025-11-12,7100,31866455200.0,10416162350.0,2162250500.0
2025-11-12,7150,56923383410.0,29454923540.0,3375713120.0
2025-11-12,7200,21790173690.0,11873496230.0,1544952430.0
2025-11-12,8050,68139669950.0,38736208730.0,5164772490.0
2025-11-12,9050,122342892190.0,60022021880.0,7236287850.0
2025-11-12,9999,197439110898.0,90922020740.0,30609640681.0
2025-11-11,0050,2749936400.0,2091202250.0,152919650.0
2025-11-11,1050,10085325050.0,4538548450.0,476077850.0
2025-11-11,2050,102237691200.0,66282736500.0,7991388350.0
2025-11-11,3050,76890208400.0,57137799100.0,4582535450.0
2025-11-11,3100,13059473590.0,5595870120.0,1007220130.0
2025-11-11,3150,3290399800.0,2225637370.0,178741780.0
2025-11-11,3200,141080990450.0,100656484580.0,14131240740.0
2025-11-11,3250,103584805100.0,37222721200.0,7362818000.0
2025-11-11,3300,8928269890.0,6717885120.0,515226000.0
2025-11-11,3350,15748622200.0,8744256450.0,833305550.0
2025-11-11,3400,50806489600.0,33629429250.0,4279138700.0
2025-11-11,3450,16593239650.0,11907175920.0,979255830.0
2025-11-11,3500,414927111300.0,222367015600.0,107199291050.0
2025-11-11,3550,17776268600.0,8321508900.0,877967700.0
2025-11-11,3600,321006841770.0,206254336260.0,57931949540.0
2025-11-11,3650,1248508508480.0,634212190550.0,233182774930.0
2025-11-11,3700,176022973930.0,99665625050.0,19567536100.0
2025-11-11,3750,41667176800.0,25001457050.0,2703772000.0
2025-11-11,3800,68611897650.0,28955602480.0,5444701580.0
2025-11-11,4050,78416667240.0,27550299600.0,8359785420.0
2025-11-11,5050,35515757000.0,36789674650.0,2465468150.0
2025-11-11,5100,15549460700.0,22374201000.0,1555824900.0
2025-11-11,5150,15494054150.0,9896482850.0,1129191850.0
2025-11-11,5200,2346824550.0,1498353900.0,146998350.0
