top_n,month,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
3,2021-09,51,20,1.2830271894523648,47.05882352941176,58257.759472780446,1142.3090092702048,-86809.95950614168,-39844.68471911496,-23620.17069029007,-34189.762084171496,23
3,2021-10,50,21,1.3680529903511984,46.0,16842.507400707414,336.8501480141483,-27048.624964494567,-12849.27369774241,-2568.0268185999316,-6257.059283113472,21
3,2021-11,59,20,0.6843311805445135,38.983050847457626,-30912.012302718093,-523.9324119104762,-38791.360104698615,-16411.027938784402,-6692.90105243195,-11175.519524520701,25
3,2021-12,57,22,1.8784053880991483,56.14035087719298,49230.056676139706,863.6852048445562,-12356.464295876185,-7401.275823312039,-5854.336828264381,-6692.7422646773875,7
3,2022-01,48,18,1.5661256074723522,56.25,41823.400919330816,871.3208524860587,-26381.73904032955,-10687.948357154279,-6260.645859292158,-8619.366526549433,5
3,2022-02,49,18,0.9792516543471511,57.14285714285714,-1384.2032411889213,-28.249045738549416,-40831.66328564389,-22015.75174929885,-6652.448572548624,-12886.008857503633,19
3,2022-03,55,22,1.8270558881636152,60.0,33390.63228591301,607.1024051984183,-13016.571789176987,-7090.156264295683,-3922.213282953362,-5666.034333588868,7
3,2022-04,53,20,0.7690472428226499,50.943396226415096,-13528.937439341747,-255.2629705536179,-34805.75957879742,-13219.45287057456,-4955.904379361559,-8247.16385992631,20
3,2022-05,48,18,1.0862948243875168,50.0,5590.5808530516915,116.4704344385769,-31312.393591758337,-11389.021444407284,-8499.261434364502,-11347.931302935247,11
3,2022-06,53,22,0.636171355288874,54.71698113207547,-40803.13927277725,-769.8705523165519,-64724.66042435878,-36811.24277660042,-6505.371615650506,-17681.593860002627,20
3,2022-07,49,20,2.307492957344413,57.14285714285714,34491.051961761405,703.8990196277838,-8234.116947065151,-3166.2722034683384,-2483.993703054051,-2895.569598869484,8
3,2022-08,54,21,1.6535550329696018,61.111111111111114,54333.76653648461,1006.1808617867521,-20946.223567846348,-20946.223567846348,-8950.452542787645,-17009.62833359007,8
3,2022-09,55,20,0.7958824197800843,52.72727272727272,-36431.92269573681,-662.398594467942,-66552.8300882048,-26353.32411174977,-18717.38212196408,-23518.210155967758,19
3,2022-10,49,20,1.147863470573741,53.06122448979592,16884.279617860822,344.5771350583841,-47085.152144660824,-27877.672464584335,-18902.70833868164,-22520.71844846311,10
3,2022-11,57,20,1.1897988552431051,49.122807017543856,19714.678972891303,345.8715609279176,-77742.22117709577,-31555.724152765608,-10246.55965649612,-18493.626398663993,28
3,2022-12,62,22,2.5137768484887295,62.903225806451616,43246.712592340424,697.5276224571036,-11513.63145254645,-5496.214051047491,-1667.60917232088,-3684.668824489875,14
3,2023-01,42,19,3.106115977762603,57.14285714285714,36570.921649366996,870.7362297468333,-6415.469551494459,-2975.1435242669686,-1595.9166729938045,-2313.590412290432,6
3,2023-02,49,19,1.7348733083741892,59.183673469387756,27142.866670993775,553.936054510077,-8717.260222739333,-8717.260222739333,-3122.1828097093953,-5541.271881494023,12
3,2023-03,52,21,0.6932206503048245,53.84615384615385,-27742.628410737812,-533.512084821881,-56144.73690826562,-38136.007543237196,-8487.972204710168,-20285.228739424547,28
3,2023-04,47,18,1.343395848159048,63.829787234042556,10914.951775652615,232.23301650324711,-6376.149328359793,-5848.800382311412,-3306.752669503121,-4294.515998438824,8
3,2023-05,45,19,2.574006827194997,60.0,48821.191496142514,1084.9153665809447,-10567.415982907754,-6940.701618683647,-4116.747768908281,-5761.254728276867,6
